,name,description,team,battingStyle,bowlingStyle,playingRole,photo url
180,Matthew Cross,"In his younger years Cross showed promise at football, representing Aberdeen FC at U-15 level but committed to cricket while juggling his engineering degree studies at MCC Loughborough University. In 2013 he was on the books at Nottinghamshire and scored 47 in his only senior game, against Bangladesh A. He was later a part of the MCC Young Cricketers Programme at Lord's for two years and had other trials around the county scene with Durham, Essex and Kent, but didn't make it in English first-class cricket.",Scotland,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316680.1.png"
181,Michael Leask,,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316678.2.png"
182,Chris Greaves,,Scotland,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329745.1.png"
183,Nathan Ellis,"In 2019 he was a club cricketer who had moved to Tasmania from New South Wales in search of opportunity and worked a variety of jobs including a landscape gardener, a labourer and a teacher's aide.",Australia,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329711.2.png"
184,Brad Wheal,"He played four Championship matches in 2015, accounting for an England opener, Sam Robson, on his debut. A Scotland debut, at 19, followed in 2016, a year in which his experience was also developed with eight further Championship matches. It felt like a breakthrough season, not just for an exceptional last over in the televised T20 win against Sussex but also his six wickets against Notts at Trent Bridge and a 4 for 39 in the final Championship match against Durham with relegation staring Hampshire in the face.",Scotland,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322400/322436.1.png"
185,Mark Watt,"He was instrumental in Scotland winning the Oman Quadrangular T20I Series in 2019, taking three wickets apiece in each of their two victories, over Ireland and Oman. Later that year, in the T20 World Cup Qualifier in the UAE, he took 12 wickets as Scotland went through to the event (which was deferred to 2021 due to Covid).",Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320372.1.png"
186,Chris Sole,,Scotland,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322400/322438.1.png"
187,Safyaan Sharif,"In March 2018, during the 2018 Cricket World Cup Qualifier tied match against Zimbabwe at the Queens Sports Club in Bulawayo, he took his first five-wicket haul in ODIs and his 5 for 33 won him the man of the match award.",Scotland,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316679.1.png"
188,Michael van Lingen,,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350305.1.png"
189,Nikolaas Davin,,Namibia,Right hand Bat,Legbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391900/391958.2.png"
