,name,description,team,battingStyle,bowlingStyle,playingRole,photo url
58,Glenn Maxwell,"To date, his most extraordinary display (among many) came against Afghanistan in the 2023 ODI World Cup when he struck a monumental 201 not out off 128 balls lead Australia to a remarkable victory from an almost hopeless position",Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389563.5.png"
59,Marcus Stoinis,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has been a mainstay in Australia's limited-overs sides, a dominant presence in the BBL, and a sought-after IPL performer.",Australia,Right hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321596.2.png"
60,Tim David,"Mumbai Indians' decision to sign Tim David for INR 8.25 crore (AUD 1.5 million) at the 2022 IPL auction confirmed two things. Firstly, that the game's formats had diverged so much that a man without a state contract or even a first-class appearance to his name could be worth such a sum; and secondly, that David had become one of the world's most sought-after T20 finishers over the previous 12 months.",Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340305.1.png"
61,Matthew Wade,"Wade was a talented junior footballer, but at 170cm decided he was too short to make a career out of it and pursued cricket instead. It wasn't plain sailing: that he played any international cricket at all is a credit to his mental toughness - at 16, he was diagnosed with testicular cancer, and required two cycles of chemotherapy to defeat the illness.",Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316594.1.png"
62,Pat Cummins,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances. By 2023 he had led the team to the World Test Championship and ODI World Cup.",Australia,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390954.5.png"
63,Mitchell Starc,"First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and Starc will go down as one of the country's finest all-format bowlers.",Australia,Left hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390978.5.png"
64,Josh Hazlewood,"Although he was only 23 at the time, the baggy green had felt a long time coming, given that Hazlewood had been highly regarded for so long.  At 17, he had become the youngest fast bowler to be selected by New South Wales, and at 19 he was in his first one-day international against England at Southampton, joining Craig McDermott and Ray Bright as the only Australian 19-year-olds to play the format so soon. Hazlewood was initially chosen for Australia's Test tour of India in late 2010 but was withdrawn due to a back stress injury, and it was not until four years later that he finally played his first Test, having added significant strength to his 196cm frame.",Australia,Left hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390976.5.png"
65,Adam Zampa,"An energetic and competitive legspinner, Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. He has subtle changes of pace and variations, including a wrong'un (a classic of which dismissed Kane Williamson at the SCG just days before the Covid lockdowns) and straight ball making up for a lack of prodigious turn. He's a colourful character off the field, but in contrast, his bowling, focusing on control, is clinical.",Australia,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321549.1.png"
66,Kyle Mayers,"He had won his place on the back of some impressive form in regional cricket for Barbados, making his maiden professional hundreds in 2019-20. In the Regional Super50, he hit 113 from the middle order against the Leeward Islands, before finishing second to Jermaine Blackwood in the four-day run-scoring charts as Barbados cantered to the title.",West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322024.1.png"
67,Shai Hope,"Hope was 23 at the time, the youngest member of the XI, leading West Indies to victory with scores of 147 and 118 not out. They had been faced with a target of 322 - not since Bradman's Invincibles rocketed to 404 for 3 in 1948 had a team chased that many on Yorkshire's storied turf, and won. Adding to the occasion was the fact West Indies had been dismantled only a week ago, England beating them by an innings and 209 runs to ensure their fans could savour the advent of day-night Test cricket in the country.",West Indies,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320122.1.png"
68,Nicholas Pooran,"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful.",West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png"
69,Roston Chase,"Slotted in at No. 6 for West Indies' home series against India in 2016, Chase did not take long to show he belonged. In his second Test, at Sabina Park, he became only the fourth West Indian, after Denis Atkinson, Collie Smith and Garry Sobers, to take a five-wicket haul and score a hundred in a Test; he bowled more overs than anyone else in India's only innings to finish with 5 for 121, and batted through all of the fifth day to score an unbeaten 137 and lead his side to an improbable draw. He pulled off that feat again in 2017 against Pakistan in Roseau, where he made an unbeaten 101, exactly half of his team's total in the innings, but they failed to chase down a tough 304. The match before, he had made another hundred, this time in a West Indies win.",West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322039.1.png"
70,Rovman Powell,"Powell's maiden ODI hundred, against Ireland in 2018, helped West Indies to a crucial win in the World Cup qualifier, and he captained a weakened side in Bangladesh later that year, but was left out of the squad for the World Cup itself, in 2019.",West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322172.1.png"
71,Sherfane Rutherford,"He first played the IPL in 2019 for Delhi Capitals. He produced results with the bat, while his bowling performances were not anything of note. In the BPL 2019-20, he played multiple cameos for Sylhet Thunder. That was followed by the PSL 2020-21, which he won with Karachi Kings. Rutherford played the next PSL for Peshawar Zalmi, and scored 276 runs at a strike rate of 153. He was also a part of the St Kitts and Nevis Patriots side that lifted the CPL 2022 trophy, and contributed 262 runs.",West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322173.1.png"
72,Andre Russell,"A world-class seam-bowling allrounder from Jamaica, Andre Russell made his first-class debut at 19 and Test debut at 22, but it is as a T20 legend, sought after by every franchise league in the world, that he will be remembered.",West Indies,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316615.1.png"
73,Akeal Hosein,"He started the 2021 T20 World Cup in the UAE as a net bowler but was drafted into the main squad as an injury replacement. At the 2024 T20 World Cup in the Caribbean, he took nine wickets at an economy of 5.6. Earlier that the year he had been part of MI Emirates' winning side in the ILT20, taking 12 wickets in ten matches.",West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321939.1.png"
74,Alzarri Joseph,"He had made it into the U-19 World Cup squad on the back of his first-class performances - in his second season with Leeward Islands in late 2015, he took his first five-for, against Guyana, and followed it up with 7 for 46 against Windward Islands in the next match. His 24 first-class wickets that season and the World Cup performance saw him fast-tracked into the Test side; he debuted against India at Gros Islet in August 2016 and bounced out Virat Kohli for 3 for his first wicket. His ODI debut came a few months later, against Pakistan in Sharjah.",West Indies,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321943.1.png"
75,Gudakesh Motie,"One of many Guyanese cricketers of Indian heritage, Gudakesh Motie is a tall left-arm spinner who, despite a short international career so far, has become West Indies' primary spinner across formats. Outside his home country of Guyana, Motie's name first came up during the 2014 Under-19 World Cup. He didn't set the stage alight, returning six wickets in six bowling innings at 34.83, but has built steadily since, as his numbers across formats show. First came a T20I debut, against Pakistan in Karachi in late 2021, and the Test and ODI debuts followed, at home against Bangladesh in mid-2022.",West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326100/326127.1.png"
76,Obed McCoy,"He made his domestic debuts in all three formats in 2017, and less than a year later he was playing for West Indies in an ODI against India. While his 50-over career did not take off, McCoy became a fairly regular player for West Indies in T20Is, representing them in the 2021, 2022 and 2024 T20 World Cups.",West Indies,Left hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322031.1.png"
77,Steven Taylor,"Born and raised in south Florida to Jamaican immigrants, he began playing adult league cricket when he was 9. Taylor made his first USA senior tour a few days after turning 15, in November 2008. Eventually, he made his debut at 16 against Jamaica in May 2010, by which time he was hovering at over six feet tall. In 2011, he set a USA U-19 record with 140 off 120 balls against Papua New Guinea at the U-19 World Cup Qualifier in Ireland.",U.S.A.,Left hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389400/389472.5.png"
78,Andries Gous,,U.S.A.,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393400/393407.2.png"
79,Nitish Kumar,"Later, he moved to the USA and was picked in their 2024 T20 World Cup squad.",U.S.A.,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383209.1.png"
80,Aaron Jones,Fast forward to 2024. Jones scored an unbeaten 94 off 40 balls in the opening game of the T20 World Cup to give USA a thumping win over Canada.,U.S.A.,Right hand Bat,Legbreak Googly,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391400/391444.2.png"
81,Corey Anderson,"Anderson, who would not look out of place in the All Blacks' front row, became the youngest New Zealand player to gain a contract when, at 16, he was awarded the deal that Chris Harris declined. Anderson had already appeared for Canterbury the previous year and, within a year, he had played for New Zealand A, as well as in the State final. A left-arm pace bowler and middle-order batsman, Anderson played in the Under-19 World Cup in Malaysia in 2008 and two years later again made the squad for the tournament, which was held at home in New Zealand.",U.S.A.,Left hand Bat,Left arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383214.1.png"
82,Milind Kumar,,U.S.A.,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392115.2.png"
83,Harmeet Singh,"Spotted by Shivaji Park Gymkhana as a nine-year-old, Harmeet was coached by the likes of Padmakar Shivalkar, the former Mumbai left-arm spinner, and Praveen Amre, the former India batsman and ex-Mumbai coach at the academy. He was also the inaugural recipient of the Ramakant Achrekar Scholarship when he was 16. Harmeet led Mumbai at the U-16 and U-19 levels before making a spectacular first-class debut, when he grabbed a seven-wicket match haul in Mumbai's comfortable victory against Himachal Pradesh. His maiden five-for came in his third match, against Tamil Nadu in the 2010-11 season. Oddly, he was ignored the following season.",U.S.A.,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392122.2.png"
84,Shadley van Schalkwyk,"More than a decade later, he moved to the USA and was picked in their 2024 T20 World Cup squad.
Siddarth Ravindran",U.S.A.,Left hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392116.2.png"
85,Ali Khan,"Khan's pace caught the eyes of several coaches at the trial, in particular those of former West Indies fast bowler Courtney Walsh, and he wound up being picked in a 15-man combined ICC Americas squad to play in the 2016 WICB Nagico Super50 competition. His ability to bowl yorkers consistently, while swinging the ball at around 135 kph, earned him a place in Guyana Amazon Warriors after that February's Caribbean Premier League draft.",U.S.A.,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383217.1.png"
86,Nosthush Kenjige,,U.S.A.,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383218.1.png"
87,Saurabh Netravalkar,"During this time, he completed his bachelor's degree in computer engineering. But with limited opportunities to play for Mumbai, he decided to pursue higher studies. In 2015, he got an offer for admission from Cornell University in New York for a master's degree and moved there.",U.S.A.,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383213.1.png"
88,Ashton Agar,"Agar's rapid rise continued when he made an unforgettable debut in the Ashes Test at Trent Bridge in 2013. Coming in at No. 11, with Australia reeling at 117 for 9, he struck an astonishing 98 - the highest Test score ever by a No. 11 - playing strokes that top-order batters would be proud of. He then picked up Alastair Cook as his maiden victim, thus becoming the first teenaged Australian spinner to take a Test wicket.",Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321559.1.png"
89,Jaker Ali,,Bangladesh,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389548.5.png"
90,Mahedi Hasan,"Mahedi (not to be mistaken with Mehidy Hasan Miraz who is coincidentally his first-class teammate from Khulna Division) is an accurate off-spinner, gun fielder and a batsman who has done well in both the top-order and lower down. He has six first-class centuries and his only List-A ton was in his Dhaka Premier League debut in 2016.",Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380200/380237.1.png"
91,Johnson Charles,,West Indies,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322008.1.png"
92,Mark Wood,An apparently relentless succession of injuries - particularly injuries to his ankle - threatened to either end his career or turn him into another fast medium seamer who compromised his pace for a longer career in the game.,England,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383149.2.png"
93,Ottneil Baartman,,South Africa,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381700/381731.5.png"
94,Hazratullah Zazai,"A tall, hulking presence at the crease, Zazai made waves as a 20-year-old by striking back-to-back half-centuries in just his second and third matches to ensure a T20I series sweep of Ireland. In the final match at Bready, he single-handedly outscored Ireland with his 82 off 54 balls, which included seven sixes.",Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383222.1.png"
95,Najibullah Zadran,,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381935.2.png"
96,Brandon King,"King made his first-class debut for Jamaica in 2014-15 but had a breakout season in 2018-19, when he racked up 630 runs in seven games, landing him a middle-order slot in the West Indies A side. King also debuted in the CPL in 2017 with St Kitts and Nevis Patriots, but flew under the radar until his switch to Guyana Amazon Warriors in 2019, where coach Johan Botha spotted his potential and bumped him up the order. He responded with 496 runs in 12 games, the most by anyone in the tournament that year, at a strike rate of 149, including an unbeaten 132 against Barbados Tridents, then the highest individual score in the CPL.",West Indies,Right hand Bat,N/A,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321983.1.png"
97,Romario Shepherd,"And like most modern West Indies players, Shepherd has played in multiple T20 leagues around the world - like the CPL, IPL, SA20, BPL and MLC. Most notably, playing for Mumbai Indians (MI) in IPL 2024, he bashed Anrich Nortje for 32 runs in a single over, including four sixes and two fours.",West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322037.1.png"
98,Shayan Jahangir,,U.S.A.,Right hand Bat,Right arm Medium fast,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380400/380454.6.png"
99,Jasdeep Singh,"One of his first highlights at senior level for USA was taking a hat-trick in the inaugural American Cricket Federation National Championship in Los Angeles in October 2012. After continuously plugging away in New Jersey league cricket as well as various private T20 competitions around the country, he made his USA debut at the 2015 ICC Americas Division One Twenty20 tournament in Indianapolis.",U.S.A.,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383212.1.png"
100,Tony Ura,,P.N.G.,Right hand Bat,N/A,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386900/386936.5.png"
101,Assad Vala,,P.N.G.,Left hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321136.1.png"
102,Charles Amini,"CJ has lived up to those familial standards by becoming a key cog in PNG's push to secure ODI status since 2014, and see it through some rocky times in the years since. Serving as a longtime vice-captain to Assad Vala, Amini's ability to produce handy spells of legspin in addition to timely contributions with the bat have made him a leader by deed as much as by word.",P.N.G.,Left hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321138.1.png"
103,Sese Bau,,P.N.G.,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321159.1.png"
104,Hiri Hiri,,P.N.G.,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386900/386937.5.png"
105,Chad Soper,"Born in Port Moresby to a Papuan mother and Kiwi father, Soper grew up in New South Wales, and played the 2012 ICC Under-19 World Cup for PNG, taking a five-wicket haul against eventual champions India, ensuring he would remain in the minds of senior team selectors going forward.",P.N.G.,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321137.1.png"
106,Kiplin Doriga,,P.N.G.,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321149.1.png"
107,Norman Vanua,,P.N.G.,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321154.1.png"
108,Alei Nao,,P.N.G.,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321135.1.png"
109,Kabua Morea,,P.N.G.,Right hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386900/386938.5.png"
110,Semo Kamea,,P.N.G.,Left hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392086.5.png"
111,Finn Allen,"An opening batter who can also keep wicket, Finn Allen is arguably the hardest hitter of a cricket ball in New Zealand. His ability to go hard from ball one, and keep going hard, makes him a model opener in T20 cricket. He needed just four overs at the SCG in the 2022 T20 World Cup to put Australia on the brink of elimination.",New Zealand,Right hand Bat,N/A,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383164.1.png"
112,Devon Conway,"After moving to New Zealand at 26, following that 2017 game against Border, Johannesburg-born Conway was handed a contract by Wellington for the 2018-19 domestic season. The next season he was the top run-scorer in all three domestic competitions, including a triple-century against Canterbury in Wellington's Plunket Shield-winning campaign that gave them the title for the first time since 2003-04.",New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383148.1.png"
113,Rachin Ravindra,"After featuring in two Under-19 World Cups for New Zealand, Ravindra made a seamless transition into international cricket. He broke into the New Zealand senior team in 2021 and on his Test debut against a spin-heavy India attack that included R Ashwin, Ravindra Jadeja and Axar Patel, he played out 91 balls in the final innings to help New Zealand salvage a draw in Kanpur.",New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383182.1.png"
114,Kane Williamson,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010.",New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383172.1.png"
115,Daryl Mitchell,"Mitchell, the son of former New Zealand rugby union player and coach John Mitchell, scored his first Test hundred at the start of 2021, in an innings win over Pakistan in Christchurch, and his first ODI century that March. In T20Is, when promoted to open at the 2021 T20 World Cup, he played a key role in New Zealand's run to the final, with an unbeaten 72 against England in the semi-final. Though New Zealand had a poor tour of England in 2022, losing all three Tests, Mitchell came out of the summer glowing, with two fifties and three hundreds, including a massive one at Trent Bridge. And he made a quick fifty against Pakistan in the T20 World Cup semi-final that year, though in a losing cause.",New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383147.2.png"
116,Trent Boult,"Born in the Bay of Plenty region in New Zealand's North Island, Boult is, in the words of his brother Jono, a ""normal sort of Kiwi young guy… into his golf and fishing and surfing."" Cricket, though, was his calling. He lived in a neighbourhood which included eventual New Zealand team-mates Kane Williamson and Doug Bracewell, and had the backing of a supportive household that also kept him grounded. Signs of his skill were evident even as a teenager. As a 17-year-old, he was named the fastest secondary school bowler in the country. A year later, he was representing New Zealand at the Under-19 World Cup.",New Zealand,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png"
117,Tim Southee,"It was a debut that gave a clear indication of the career to come. Over the next decade or so, Southee would go on to form one of the world's best new-ball partnerships with Trent Boult, and would also come to be known for his ability to clear the fence. He hit his 50th six in only his 36th Test.",New Zealand,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383184.1.png"
118,Lockie Ferguson,"A sporadic presence in the Auckland side in his first two first-class seasons, Ferguson broke through in 2014-15 with 21 wickets at 23.38. He took 31 the following year, and 117 in all in the four seasons through to 2017-18. He also enjoyed success in the List A side in this period.",New Zealand,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383174.1.png"
119,Ish Sodhi,"Sodhi struggled somewhat to establish himself in regional representative teams. Auckland's pitches, which provide little aid to spin bowlers, and captains who have been traditionally ill equipped with knowledge of how to use slow bowlers, didn't help. Despite that, he became a force in the domestic first-class game. For Northern Districts in the seven Plunket Shield seasons starting in 2012-13, his mastery of turn and flight fetched him 181 wickets. Forty of those came in just seven games, in 2016-17; the next year, equally as strikingly, he took 28 wickets in the four games he played in the competition.",New Zealand,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383170.1.png"
120,Mitchell Santner,"He was named in the one-day squad for the tour of England following the retirement of Daniel Vettori after the World Cup as New Zealand searched for another left-arm spin option. Santner was in to cover for the absence of the players at the IPL but made an immediate impression with a well-crafted 94 in a tour game against Somerset. He was handed his ODI debut at Edgbaston having played just 19 List A matches for Northern Districts. ""It's nice to have a left-arm spinner who turns,"" was a quip from the New Zealand camp.",New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383180.1.png"
121,Pathum Nissanka,,Sri Lanka,Right hand Bat,N/A,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323070.1.png"
122,Kusal Mendis,"A highly-rated graduate of Sri Lanka's school cricket system, Mendis' batting had earned him a large following long before he was on the national selectors' radar. As wicketkeeper and flowing right-hand batsman, Mendis won the Schoolboy Cricketer of the Year award in 2013, for his work in the Prince of Wales College team. He was Sri Lanka's under-19 captain in the Youth World Cup the following year.",Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319866.2.png"
123,Kamindu Mendis,"A product of Galle's Richmond College, Mendis made his under-19 Sri Lanka debut shortly before his 16th birthday, and would go on to captain the under-19 side in the 2018 World Cup. In October of that year, he was picked in a Sri Lanka senior side for the first time, for the one-off T20 against England. A half-century in the practice match before that England tour had helped him secure a place.",Sri Lanka,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329900/329938.1.png"
